# Renewables.ninja Solar photovoltaic power (PV) (Point API) - 43.157, -77.615 - Version: 1.4 (gsee f9b6961) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,,,
# Units: time in UTC, local_time in America/New_York, irradiance_direct in unknown, irradiance_diffuse in unknown, temperature in ºC,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""America/New_York"""," ""irradiance_direct"": ""unknown"""," ""irradiance_diffuse"": ""unknown"""," ""temperature"": ""\u00baC""}"," ""params"": {""local_time"": ""true"""," ""header"": ""true"""," ""lat"": ""43.157285"""," ""lon"": ""-77.615214"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""1"""," ""system_loss"": ""0.1"""," ""tracking"": ""0"""," ""tilt"": ""35"""," ""azim"": ""180"""," ""raw"": ""true""}}"
time,local_time,irradiance_direct,irradiance_diffuse,temperature,,,,,,,,,,,,,
1/1/2019 0:00,12/31/2018 19:00,0,0,2.421,,,,,,,,,,,,,
1/1/2019 1:00,12/31/2018 20:00,0,0,2.729,,,,,,,,,,,,,
1/1/2019 2:00,12/31/2018 21:00,0,0,3.497,,,,,,,,,,,,,
1/1/2019 3:00,12/31/2018 22:00,0,0,4.385,,,,,,,,,,,,,
1/1/2019 4:00,12/31/2018 23:00,0,0,5.475,,,,,,,,,,,,,
1/1/2019 5:00,1/1/2019 0:00,0,0,7.225,,,,,,,,,,,,,
1/1/2019 6:00,1/1/2019 1:00,0,0,8.721,,,,,,,,,,,,,
1/1/2019 7:00,1/1/2019 2:00,0,0,10.14,,,,,,,,,,,,,
1/1/2019 8:00,1/1/2019 3:00,0,0,9.372,,,,,,,,,,,,,
1/1/2019 9:00,1/1/2019 4:00,0,0,7.235,,,,,,,,,,,,,
1/1/2019 10:00,1/1/2019 5:00,0,0,5.122,,,,,,,,,,,,,
1/1/2019 11:00,1/1/2019 6:00,0,0,2.984,,,,,,,,,,,,,
1/1/2019 12:00,1/1/2019 7:00,0.001,0.001,1.641,,,,,,,,,,,,,
1/1/2019 13:00,1/1/2019 8:00,0.08,0.049,1.416,,,,,,,,,,,,,
1/1/2019 14:00,1/1/2019 9:00,0.205,0.097,1.756,,,,,,,,,,,,,
1/1/2019 15:00,1/1/2019 10:00,0.23,0.133,1.76,,,,,,,,,,,,,
1/1/2019 16:00,1/1/2019 11:00,0.36,0.141,1.677,,,,,,,,,,,,,
1/1/2019 17:00,1/1/2019 12:00,0.375,0.141,1.587,,,,,,,,,,,,,
1/1/2019 18:00,1/1/2019 13:00,0.336,0.131,1.429,,,,,,,,,,,,,
1/1/2019 19:00,1/1/2019 14:00,0.231,0.11,1.115,,,,,,,,,,,,,
1/1/2019 20:00,1/1/2019 15:00,0.109,0.069,0.594,,,,,,,,,,,,,
